machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;l1hits;l2hits;l3hits;dramhits
pissarro;2048;32;1;4;max;task;none;10;;cores;line;20;3361194;-1;-1;-1;-1
pissarro;2048;64;1;4;max;task;none;10;;cores;line;20;1703635;-1;-1;-1;-1
pissarro;2048;128;1;4;max;task;none;10;;cores;line;20;824541;-1;-1;-1;-1
pissarro;2048;256;1;4;max;task;none;10;;cores;line;20;454737;-1;-1;-1;-1
pissarro;2048;512;1;4;max;task;none;10;;cores;line;20;241287;-1;-1;-1;-1
pissarro;2048;32;1;6;max;task;none;10;;cores;line;20;3554322;-1;-1;-1;-1
pissarro;2048;64;1;6;max;task;none;10;;cores;line;20;1796203;-1;-1;-1;-1
pissarro;2048;128;1;6;max;task;none;10;;cores;line;20;945332;-1;-1;-1;-1
pissarro;2048;256;1;6;max;task;none;10;;cores;line;heat-20;3717601;-1;-1;-1;-1
pissarro;2048;64;1;8;max;task;none;10;;cores;line;20;1914868;-1;-1;-1;-1
pissarro;2048;128;1;8;max;task;none;10;;cores;line;20;1036088;-1;-1;-1;-1
pissarro;2048;256;1;8;max;task;none;10;;cores;line;20;616524;-1;-1;-1;-1
pissarro;2048;512;1;8;max;task;none;10;;cores;line;20;355945;-1;-1;-1;-1
pissarro;2048;32;1;10;max;task;none;10;;cores;line;20;3932336;-1;-1;-1;-1
pissarro;2048;64;1;10;max;task;none;10;;cores;line;20;2076277;-1;-1;-1;-1
pissarro;2048;128;1;10;max;task;none;10;;cores;line;20;1165933;-1;-1;-1;-1
pissarro;2048;256;1;10;max;task;none;10;;cores;line;20;718854;-1;-1;-1;-1
pissarro;2048;512;1;10;max;task;none;10;;cores;line;20;428820;-1;-1;-1;-1
pissarro;2048;32;1;12;max;task;none;10;;cores;line;20;4330395;-1;-1;-1;-1
pissarro;2048;64;1;12;max;task;none;10;;cores;line;20;2231739;-1;-1;-1;-1
pissarro;2048;128;1;12;max;task;none;10;;cores;line;20;1321278;-1;-1;-1;-1
pissarro;2048;256;1;12;max;task;none;10;;cores;line;20;855419;-1;-1;-1;-1
pissarro;2048;512;1;12;max;task;none;10;;cores;line;20;512604;-1;-1;-1;-1
pissarro;2048;32;1;1;max;task;none;10;;cores;line;heat-ne;20;608619;-1;-1;-1;-1
pissarro;2048;256;1;1;max;task;none;10;;cores;line;20;347010;-1;-1;-1;-1
pissarro;2048;512;1;1;max;task;none;10;;cores;line;20;236722;-1;-1;-1;-1
pissarro;2048;32;1;2;max;task;none;10;;cores;line;20;2714701;-1;-1;-1;-1
pissarro;2048;64;1;2;max;task;none;10;;cores;line;20;1348071;-1;-1;-1;-1
pissarro;2048;128;1;2;max;task;none;10;;cores;line;20;724786;-1;-1;-1;-1
pissarro;2048;256;1;2;max;task;none;10;;cores;line;20;414861;-1;-1;-1;-1
pissarro;2048;512;1;2;max;task;none;10;;cores;line;20;244866;-1;-1;-1;-1
pissarro;2048;32;1;4;max;task;none;10;;cores;line;20;3403672;-1;-1;-1;-1
pissarro;2048;64;1;4;max;task;none;10;;cores;line;20;1740601;-1;-1;-1;-1
pissarro;2048;128;1;4;max;task;none;10;;cores;line;20;829966;-1;-1;-1;-1
pissarro;2048;256;1;4;max;task;none;10;;cores;line;20;451375;-1;-1;-1;-1
pissarro;2048;512;1;4;max;task;none;10;;cores;line;20;245138;-1;-1;-1;-1
pissarro;2048;32;1;6;max;task;none;10;;cores;line;20;3528466;-1;-1;-1;-1
pissarro;2048;64;1;6;max;task;none;10;;cores;line;20;1806767;-1;-1;-1;-1
pissarro;2048;128;1;6;max;task;none;10;;cores;lheat-;line;20;290909;-1;-1;-1;-1
pissarro;2048;32;1;8;max;task;none;10;;cores;line;20;3727676;-1;-1;-1;-1
pissarro;2048;64;1;8;max;task;none;10;;cores;line;20;1943247;-1;-1;-1;-1
pissarro;2048;128;1;8;max;task;none;10;;cores;line;20;1048184;-1;-1;-1;-1
pissarro;2048;256;1;8;max;task;none;10;;cores;line;20;625613;-1;-1;-1;-1
pissarro;2048;512;1;8;max;task;none;10;;cores;line;20;355086;-1;-1;-1;-1
pissarro;2048;32;1;10;max;task;none;10;;cores;line;20;3875036;-1;-1;-1;-1
pissarro;2048;64;1;10;max;task;none;10;;cores;line;20;2035279;-1;-1;-1;-1
pissarro;2048;128;1;10;max;task;none;10;;cores;line;20;1179887;-1;-1;-1;-1
pissarro;2048;256;1;10;max;task;none;10;;cores;line;20;721435;-1;-1;-1;-1
pissarro;2048;512;1;10;max;task;none;10;;coreheat-;line;20;2219321;-1;-1;-1;-1
pissarro;2048;128;1;12;max;task;none;10;;cores;line;20;1333296;-1;-1;-1;-1
pissarro;2048;256;1;12;max;task;none;10;;cores;line;20;867257;-1;-1;-1;-1
pissarro;2048;512;1;12;max;task;none;10;;cores;line;20;517432;-1;-1;-1;-1
